4.83977, 46.32609, Credit Agricole, Macon, cc Rives de Saone- Auchan
5.58361, 45.53750, Credit Agricole, Les Abrets
5.89280, 48.67280, La Banque Postale, Toul, 16 rue Drouas
-2.43024, 47.27802, Groupe CIC-Credit Mutuel, Le Pouliguen
2.11197, 48.87875, La Banque Postale, Le Port Marly, 13 N 13
3.11677, 45.76914, Groupe La Banque Postale, Clermont Ferrand, 201 rue de l'Oradou
-0.36400, 43.31050, Groupe La Banque Postale, Pau, 2 rue Lavoisier
1.33477, 47.58601, Banque Societe Generale, Blois
4.80880, 43.94808, Groupe BNP-Paribas, Avignon, Les Halles
6.86647, 47.55987, Groupe CIC-Credit Mutuel, Trevenans
-1.09361, 45.98816, Credit Agricole, Fouras
4.88930, 45.76773, Groupe CIC-Credit Mutuel, Villeurbanne
2.62386, 44.97764, Credit Agricole, Vic sur Cere, rue M. Mabit-Fournier
5.99368, 47.23039, Groupe CIC-Credit Mutuel, Besancon, Saint Ferjeux
0.99872, 47.12974, Credit Agricole, Loches
-1.83775, 49.66312, Groupe CIC-Credit Mutuel, Beaumont, Hague
